example_id                                               | status  | run_time        |
./spec/system/users_spec.rb[1:2:1:2:1:2]                 | passed  | 0.87074 seconds |
./spec/system/users_spec.rb[1:2:1:2:2]                   | passed  | 0.77581 seconds |
./spec/system/users_spec.rb[1:2:1:2:3]                   | passed  | 0.76108 seconds |
./spec/system/users_spec.rb[1:2:2:1]                     | passed  | 0.24101 seconds |
./spec/system/users_spec.rb[1:2:2:2]                     | passed  | 0.32398 seconds |
./spec/system/users_spec.rb[1:2:3:1]                     | passed  | 0.60969 seconds |
./spec/system/users_spec.rb[1:3:1:1]                     | passed  | 1.48 seconds    |
./spec/system/users_spec.rb[1:3:1:2]                     | passed  | 1.59 seconds    |
./spec/system/users_spec.rb[1:3:1:3]                     | passed  | 1.47 seconds    |
./spec/system/users_spec.rb[1:3:1:4:1]                   | passed  | 1.51 seconds    |
./spec/system/users_spec.rb[1:3:1:4:2]                   | passed  | 2.37 seconds    |
./spec/system/users_spec.rb[1:3:2:1]                     | passed  | 1.31 seconds    |
./spec/system/users_spec.rb[1:3:3:1]                     | passed  | 2.01 seconds    |
./spec/system/users_spec.rb[1:3:3:2]                     | passed  | 1.56 seconds    |
./spec/system/users_spec.rb[1:3:3:3]                     | passed  | 1.48 seconds    |
./spec/system/users_spec.rb[1:4:1:1:1:1]                 | passed  | 1.47 seconds    |
./spec/system/users_spec.rb[1:4:1:1:1:2]                 | passed  | 1.5 seconds     |
./spec/system/users_spec.rb[1:4:1:1:2]                   | passed  | 1.36 seconds    |
./spec/system/users_spec.rb[1:4:1:1:3:1]                 | passed  | 1.57 seconds    |
./spec/system/users_spec.rb[1:4:1:1:3:2]                 | passed  | 1.51 seconds    |
./spec/system/users_spec.rb[1:4:1:2:1:1]                 | passed  | 1.34 seconds    |
./spec/system/users_spec.rb[1:4:1:2:1:2]                 | passed  | 1.42 seconds    |
./spec/system/users_spec.rb[1:4:1:2:2]                   | passed  | 1.51 seconds    |
./spec/system/users_spec.rb[1:4:1:3]                     | passed  | 0.95499 seconds |
./spec/system/users_spec.rb[1:4:2:1]                     | passed  | 1.03 seconds    |
./spec/system/users_spec.rb[1:4:2:2]                     | passed  | 1.04 seconds    |
